uniprot_id1,jaspar_mat_id,mat_name,Gene_Symbols
F4HQG9,MA1185,LHY,NA
F4HY61,MA2009,NAC010,NA
F4IED2,MA1660,NAC013,NA
F4IEY4,MA1353,AT1G72740,NA
F4IPE3,MA1159,SGR5,NA
F4IRB4,MA2029,MYB88,NA
F4J2J6,MA1191,RVE7L,NA
F4JIF5,MA1162,TCX2,NA
F4JN35,MA1046,NTL9,NA
F4JRB0,MA1164,HHO5,NA
F4JUI3,MA1403,BPC5,NA
F4K0Q7,MA2040,AT5G05550,NA
F4K6R6,MA1770,MYB40,NA
F4KGY6,MA1184,RVE1,NA
G5ECF7,MA0542,elt-3,NA
G5ECG2,MA1448,fos-1,NA
G5EDU4,MA0543,eor-1,NA
G5EE18,MA1445,ceh-28,NA
G5EE86,MA0263,ceh-10::ttx-3,NA
G5EEA1,MA0923,lim-4,NA
G5EF11,MA0541,efl-1,NA
G5EFF5,MA0538,daf-12,NA
G5EFY7,MA1703,pqm-1,NA
H2KZZ2,MA1449,hlh-30,NA
I1KFN0,MA1808,GLYMA-06G314400,NA
I1KHB3,MA1809,GLYMA-07G038400,NA
I1KZD3,MA1810,GLYMA-08G357600,NA
I1N7U7,MA1019,Glyma19g26560.1,NA
I3NN78,MA1405,SIZF2,NA
K7M309,MA1811,GLYMA-13G317000,NA
K7TL41,MA1820,Zm00001d024324,NA
K7URZ7,MA1688,ARF16,NA
K7W4V3,MA1827,Zm00001d044785,NA
M9NDG6,MA0444,CG34031,Dmel\CG34031
O00358,MA1487,FOXE1,NA
O00409,MA1489,FOXN3,FOXN3
O00470,MA0498,MEIS1,MEIS1
O00470,MA0498,MEIS1,MEIS1
O00470,MA1639,MEIS1,MEIS1
O00470,MA1639,MEIS1,MEIS1
O00712,MA1643,NFIB,NFIB
O00716,MA0469,E2F3,E2F3
O01667,MA0233,mirr,NA
O04017,MA1792,NAC098,NA
O04292,MA0573,ATHB-9,NA
O04336,MA1079,WRKY21,NA
O04609,MA1303,WRKY22,NA
O08674,MA1621,Rbpjl,Rbpjl
O08792,MA1604,Ebf2,Ebf2
O08900,MA1992,Ikzf3,NA
O08961,MA0116,Znf423,Zfp423
O14503,MA0464,BHLHE40,BHLHE40
O14529,MA0755,CUX2,CUX2
O14593,MA1554,RFX7,RFXANK
O14627,MA1473,CDX4,CDX4
O14753,MA1544,OVOL1,OVOL1
O14770,MA0774,MEIS2,MEIS2
O14770,MA0774,MEIS2,MEIS2
O14770,MA1640,MEIS2,MEIS2
O14770,MA1640,MEIS2,MEIS2
O14813,MA0713,PHOX2A,PHOX2A
O14867,MA1633,BACH1,NA
O14896,MA1509,IRF6,IRF6
O14901,MA1512,KLF11,KLF11
O14948,MA0871,TFEC,TFEC
O14978,MA0528,ZNF263,ZNF263
O15119,MA1566,TBX3,NA
O15156,MA0694,ZBTB7B,ZBTB7B
O15178,MA0009,TBXT,TBXT
O15266,MA0630,SHOX,SHOX
O15350,MA0861,TP73,TP73
O15370,MA1561,SOX12,SOX12
O15391,MA0748,YY2,YY2
O15409,MA0593,FOXP2,FOXP2
O15499,MA0891,GSC2,GSC2
O15516,MA0819,CLOCK,NA
O15522,MA0673,NKX2-8,NKX2-8
O16804,MA1461,sv,NA
O16850,MA1446,daf-16,NA
O18214,MA0262,mab-3,NA
O18400,MA0201,Ptx1,Ptx1
O22131,MA1673,LBD18,NA
O22174,MA0979,ERF008,NA
O22176,MA1076,WRKY15,NA
O22179,MA1393,MYB70,NA
O22230,MA1761,HSFB3,NA
O22456,MA0563,SEP3,NA
O22533,MA2052,ZAT6,NA
O22676,MA0096,bZIP910,NA
O22677,MA0097,bZIP911,NA
O22873,MA1742,BZIP18,NA
O22900,MA1080,WRKY23,NA
O22921,MA1081,WRKY25,NA
O23116,MA1751,EIL3,NA
O23160,MA1394,MYB73,NA
O23208,MA1214,ATHB-40,NA
O23487,MA0957,BHLH3,NA
O23661,MA1009,ARF3,NA
O24463,MA0064,PBF,NA
O24646,MA0551,HY5,NA
O35085,MA0874,Arx,Arx
O35137,MA0853,Alx4,Alx4
O35437,MA0832,Tcf21,Tcf21
O35652,MA0705,Lhx8,Lhx8
O35745,MA1615,Plagl1,NA
O35885,MA0816,Ascl2,Ascl2
O43248,MA0651,HOXC11,NA
O43316,MA0068,PAX4,PAX4
O43364,MA1948,ETV5::HOXA2,HOXA2
O43364,MA0900,HOXA2,HOXA2
O43435,MA0805,TBX1,TBX1
O43474,MA0039,KLF4,KLF4
O43623,MA0745,SNAI2,SNAI2
O43680,MA1568,TCF21,TCF21
O43763,MA1577,TLX2,TLX2
O43829,MA1650,ZBTB14,ZBTB14
O43889,MA0638,CREB3,CREB3
O45080,MA0921,ceh-48,NA
O46339,MA0227,hth,hth
O49067,MA1835,TFLG2-Zm00001d042777,NA
O49255,MA1675,NAC029,NA
O49397,MA0121,ARR10,NA
O49403,MA1759,HSFA4A,NA
O49404,MA1333,BEH3,NA
O49459,MA1790,NAC073,NA
O49550,MA1269,DOF4.5,NA
O49687,MA0569,MYC4,NA
O49697,MA1789,NAC071,NA
O49743,MA1755,GATA4,NA
O49782,MA1773,MYB51,NA
O54751,MA0467,Crx,NA
O54790,MA0659,Mafg,NA
O59958,MA1432,cre-1,NA
O60248,MA1152,SOX15,SOX15
O60422,MA0757,ONECUT3,ONECUT3
O60548,MA0847,FOXD2,NA
O60663,MA0703,LMX1B,LMX1B
O60675,MA0496,MAFK,MAFK
O60682,MA0665,MSC,MSC
O60765,MA1978,ZNF354A,NA
O60806,MA0804,TBX19,TBX19
O61640,MA0196,NK7.1,NA
O64645,MA0554,SOC1,NA
O64647,MA1285,TCP9,NA
O64722,MA1213,ZHD3,NA
O65508,MA2036,NAC076,NA
O65683,MA1334,BZIP11,NA
O70218,MA0896,Hmx1,Hmx1
O70237,MA0483,Gfi1B,Gfi1b
O75030,MA0620,MITF,MITF
O75360,MA0715,PROP1,PROP1
O75364,MA0714,PITX3,PITX3
O75444,MA1520,MAF,MAF
O75444,MA1520,MAF,MAF
O75444,MA0501,MAF::NFE2,MAF
O75444,MA0501,MAF::NFE2,MAF
O75461,MA0471,E2F6,E2F6
O75467,MA1977,ZNF324,NA
O75469,MA1533,NR1I2,NR1I2
O75593,MA0479,FOXH1,FOXH1
O75603,MA0767,GCM2,GCM2
O75626,MA0508,PRDM1,PRDM1
O75820,MA1725,ZNF189,ZNF189
O75840,MA1959,KLF7,NA
O77215,MA0250,unc-4,unc-4
O80338,MA1262,ERF2,NA
O80339,MA1005,ERF3,NA
O80340,MA0992,ERF4,NA
O80341,MA1225,ERF5,NA
O80536,MA0560,PIF3,NA
O80542,MA1424,ERF019,NA
O80654,MA1230,ERF037,NA
O80883,MA1173,MYB101,NA
O80917,MA1243,DREB2E,NA
O80928,MA0982,DOF2.4,NA
O81793,MA1801,TREE1,NA
O81821,MA2019,HSFA1B,NA
O81900,MA0580,DYT1,NA
O81913,MA2043,NAC004,NA
O81914,MA1783,NAC005,NA
O82155,MA1277,DOF1.7,NA
O82632,MA1018,GATA9,NA
O88470,MA1607,Foxl2,Foxl2
O88942,MA0624,Nfatc1,NA
O95076,MA0634,ALX3,ALX3
O95096,MA1645,NKX2-2,NKX2-2
O95231,MA0724,VENTX,VENTX
O95238,MA0686,SPDEF,SPDEF
O95365,MA0750,ZBTB7A,ZBTB7A
O95416,MA1562,SOX14,SOX14
O95718,MA0141,ESRRB,ESRRB
O95780,MA1599,ZNF682,ZNF682
O95863,MA1558,SNAI1,SNAI1
O95935,MA1565,TBX18,TBX18
O95936,MA0800,EOMES,EOMES
O95948,MA0756,ONECUT2,NA
O96006,MA0749,ZBED1,ZBED1
O96083,MA1456,Dref,NA
O96616,MA0198,OdsH,NA
O96620,MA0228,ind,NA
P01100,MA1126,FOS::JUN,FOS
P01100,MA1126,FOS::JUN,FOS
P01100,MA1126,FOS::JUN,FOS
P01100,MA1126,FOS::JUN,FOS
P01100,MA1126,FOS::JUN,FOS
P01100,MA0099,FOS::JUN,FOS
P01100,MA0099,FOS::JUN,FOS
P01100,MA0099,FOS::JUN,FOS
P01100,MA0099,FOS::JUN,FOS
P01100,MA0099,FOS::JUN,FOS
P01100,MA0476,FOS,FOS
P01100,MA0476,FOS,FOS
P01100,MA0476,FOS,FOS
P01100,MA0476,FOS,FOS
P01100,MA0476,FOS,FOS
P01100,MA1141,FOS::JUND,FOS
P01100,MA1141,FOS::JUND,FOS
P01100,MA1141,FOS::JUND,FOS
P01100,MA1141,FOS::JUND,FOS
P01100,MA1141,FOS::JUND,FOS
P01100,MA1134,FOS::JUNB,FOS
P01100,MA1134,FOS::JUNB,FOS
P01100,MA1134,FOS::JUNB,FOS
P01100,MA1134,FOS::JUNB,FOS
P01100,MA1134,FOS::JUNB,FOS
P01100,MA1951,FOS,FOS
P01100,MA1951,FOS,FOS
P01100,MA1951,FOS,FOS
P01100,MA1951,FOS,FOS
P01100,MA1951,FOS,FOS
P01106,MA0059,MAX::MYC,MYC
P01106,MA0059,MAX::MYC,MYC
P01106,MA0147,MYC,MYC
P01106,MA0147,MYC,MYC
P02833,MA0166,Antp,Antp
P02835,MA0225,ftz,ftz
P02836,MA0220,en,en
P03069,MA0303,GCN4,NA
P03372,MA0112,ESR1,ESR1
P04150,MA0113,NR3C1,NR3C1
P04198,MA0104,MYCN,MYCN
P04386,MA0299,GAL4,NA
P04637,MA0106,TP53,TP53
P05084,MA0049,hb,hb
P05085,MA0272,ARG81,NA
P05412,MA1131,FOSL2::JUN,JUN
P05412,MA1131,FOSL2::JUN,JUN
P05412,MA1131,FOSL2::JUN,JUN
P05412,MA1131,FOSL2::JUN,JUN
P05412,MA1131,FOSL2::JUN,JUN
P05412,MA1131,FOSL2::JUN,JUN
P05412,MA1131,FOSL2::JUN,JUN
P05412,MA1131,FOSL2::JUN,JUN
P05412,MA1131,FOSL2::JUN,JUN
P05412,MA0488,JUN,JUN
P05412,MA0488,JUN,JUN
P05412,MA0488,JUN,JUN
P05412,MA0488,JUN,JUN
P05412,MA0488,JUN,JUN
P05412,MA0488,JUN,JUN
P05412,MA0488,JUN,JUN
P05412,MA0488,JUN,JUN
P05412,MA0488,JUN,JUN
P05412,MA1130,FOSL2::JUN,JUN
P05412,MA1130,FOSL2::JUN,JUN
P05412,MA1130,FOSL2::JUN,JUN
P05412,MA1130,FOSL2::JUN,JUN
P05412,MA1130,FOSL2::JUN,JUN
P05412,MA1130,FOSL2::JUN,JUN
P05412,MA1130,FOSL2::JUN,JUN
P05412,MA1130,FOSL2::JUN,JUN
P05412,MA1130,FOSL2::JUN,JUN
P05412,MA1128,FOSL1::JUN,JUN
P05412,MA1128,FOSL1::JUN,JUN
P05412,MA1128,FOSL1::JUN,JUN
P05412,MA1128,FOSL1::JUN,JUN
P05412,MA1128,FOSL1::JUN,JUN
P05412,MA1128,FOSL1::JUN,JUN
P05412,MA1128,FOSL1::JUN,JUN
P05412,MA1128,FOSL1::JUN,JUN
P05412,MA1128,FOSL1::JUN,JUN
P05412,MA0462,BATF::JUN,JUN
P05412,MA0462,BATF::JUN,JUN
P05412,MA0462,BATF::JUN,JUN
P05412,MA0462,BATF::JUN,JUN
P05412,MA0462,BATF::JUN,JUN
P05412,MA0462,BATF::JUN,JUN
P05412,MA0462,BATF::JUN,JUN
P05412,MA0462,BATF::JUN,JUN
P05412,MA0462,BATF::JUN,JUN
P05412,MA1129,FOSL1::JUN,JUN
P05412,MA1129,FOSL1::JUN,JUN
P05412,MA1129,FOSL1::JUN,JUN
P05412,MA1129,FOSL1::JUN,JUN
P05412,MA1129,FOSL1::JUN,JUN
P05412,MA1129,FOSL1::JUN,JUN
P05412,MA1129,FOSL1::JUN,JUN
P05412,MA1129,FOSL1::JUN,JUN
P05412,MA1129,FOSL1::JUN,JUN
P05412,MA1127,FOSB::JUN,JUN
P05412,MA1127,FOSB::JUN,JUN
P05412,MA1127,FOSB::JUN,JUN
P05412,MA1127,FOSB::JUN,JUN
P05412,MA1127,FOSB::JUN,JUN
P05412,MA1127,FOSB::JUN,JUN
P05412,MA1127,FOSB::JUN,JUN
P05412,MA1127,FOSB::JUN,JUN
P05412,MA1127,FOSB::JUN,JUN
P05412,MA1132,JUN::JUNB,JUN
P05412,MA1132,JUN::JUNB,JUN
P05412,MA1132,JUN::JUNB,JUN
P05412,MA1132,JUN::JUNB,JUN
P05412,MA1132,JUN::JUNB,JUN
P05412,MA1132,JUN::JUNB,JUN
P05412,MA1132,JUN::JUNB,JUN
P05412,MA1132,JUN::JUNB,JUN
P05412,MA1132,JUN::JUNB,JUN
P05412,MA1133,JUN::JUNB,JUN
P05412,MA1133,JUN::JUNB,JUN
P05412,MA1133,JUN::JUNB,JUN
P05412,MA1133,JUN::JUNB,JUN
P05412,MA1133,JUN::JUNB,JUN
P05412,MA1133,JUN::JUNB,JUN
P05412,MA1133,JUN::JUNB,JUN
P05412,MA1133,JUN::JUNB,JUN
P05412,MA1133,JUN::JUNB,JUN
P05527,MA0229,inv,inv
P05549,MA0872,TFAP2A,TFAP2A
P05549,MA0872,TFAP2A,TFAP2A
P05549,MA0872,TFAP2A,TFAP2A
P05549,MA0003,TFAP2A,TFAP2A
P05549,MA0003,TFAP2A,TFAP2A
P05549,MA0003,TFAP2A,TFAP2A
P05549,MA0810,TFAP2A,TFAP2A
P05549,MA0810,TFAP2A,TFAP2A
P05549,MA0810,TFAP2A,TFAP2A
P05554,MA0019,Ddit3::Cebpa,Cebpa
P05627,MA0489,Jun,NA
P06602,MA0221,eve,eve
P06774,MA0313,HAP2,NA
P06843,MA0387,SPT2,NA
P07247,MA0452,Kr,Kr
P07248,MA0268,ADR1,NA
P07249,MA0271,ARG80,NA
P07261,MA0304,GCR1,NA
P07269,MA0356,PHO2,NA
P07270,MA0357,PHO4,NA
P07548,MA0186,Dfd,Dfd
P08044,MA0086,sna,sna
P08047,MA0079,SP1,NA
P08153,MA0402,SWI5,NA
P08235,MA0727,NR3C2,NR3C2
P08638,MA0324,LEU3,NA
P08651,MA0119,NFIC::TLX1,NFIC
P08651,MA0119,NFIC::TLX1,NFIC
P08651,MA0119,NFIC::TLX1,NFIC
P08651,MA0161,NFIC,NFIC
P08651,MA0161,NFIC,NFIC
P08651,MA0161,NFIC,NFIC
P08651,MA1527,NFIC,NFIC
P08651,MA1527,NFIC,NFIC
P08651,MA1527,NFIC,NFIC
P08970,MA0533,su(Hw),su(Hw)
P09007,MA0389,SRD1,NA
P09016,MA1507,HOXD4,HOXD4
P09017,MA1504,HOXC4,HOXC4
P09067,MA0904,HOXB5,HOXB5
P09077,MA0203,Scr,Scr
P09081,MA0212,bcd,bcd
P09085,MA0216,cad,cad
P09086,MA0507,POU2F2,NA
P09087,MA0165,Abd-B,Abd-B
P09089,MA0256,zen,zen
P09090,MA0257,zen2,zen2
P09629,MA1501,HOXB7,HOXB7
P09956,MA0255,z,z
P09959,MA0330,MBP1::SWI6,NA
P0CE41,MA0312,HAP1,NA
P0CG40,MA1564,SP9,SP9
P0CY08,MA0328,MATALPHA2,NA
P0CY11,MA0327,HMRA1,NA
P0CY13,MA0318,HMRA2,NA
P10035,MA0448,H2.0,H2.0
P10071,MA1491,GLI3,NA
P10105,MA0230,lab,lab
P10180,MA0218,ct,ct
P10181,MA0241,ro,ro
P10242,MA0100,MYB,MYB
P10243,MA0776,MYBL1,MYBL1
P10244,MA0777,MYBL2,MYBL2
P10276,MA1149,RARA::RXRG,RARA
P10276,MA1149,RARA::RXRG,RARA
P10276,MA1149,RARA::RXRG,RARA
P10276,MA1149,RARA::RXRG,RARA
P10276,MA0159,RARA::RXRA,RARA
P10276,MA0159,RARA::RXRA,RARA
P10276,MA0159,RARA::RXRA,RARA
P10276,MA0159,RARA::RXRA,RARA
P10276,MA0729,RARA,RARA
P10276,MA0729,RARA,RARA
P10276,MA0729,RARA,RARA
P10276,MA0729,RARA,RARA
P10276,MA0730,RARA,RARA
P10276,MA0730,RARA,RARA
P10276,MA0730,RARA,RARA
P10276,MA0730,RARA,RARA
P10588,MA1539,NR2F6,NR2F6
P10589,MA1538,NR2F1,NR2F1
P10589,MA1538,NR2F1,NR2F1
P10589,MA1538,NR2F1,NR2F1
P10589,MA0017,NR2F1,NR2F1
P10589,MA0017,NR2F1,NR2F1
P10589,MA0017,NR2F1,NR2F1
P10589,MA1537,NR2F1,NR2F1
P10589,MA1537,NR2F1,NR2F1
P10589,MA1537,NR2F1,NR2F1
P10627,MA0249,twi,twi
P10734,MA0451,kni,kni
P10826,MA1552,RARB,RARB
P10827,MA1969,THRA,NA
P10828,MA1575,THRB,THRB
P10828,MA1575,THRB,THRB
P10828,MA1575,THRB,THRB
P10828,MA1574,THRB,THRB
P10828,MA1574,THRB,THRB
P10828,MA1574,THRB,THRB
P10828,MA1576,THRB,THRB
P10828,MA1576,THRB,THRB
P10828,MA1576,THRB,THRB
P10961,MA0319,HSF1,NA
P11161,MA0472,EGR2,EGR2
P11473,MA0074,RXRA::VDR,VDR
P11474,MA0592,ESRRA,ESRRA
